,feature,weight
2727,vshl.I32,0.0035554191720346636
260,biccc,0.003544602511046351
1861,svc,0.0035125347999252743
2417,vmlalt.f32,0.0034736534290618743
1094,mrc,0.003461835331928707
205,b.w,0.0034585946611649693
1854,subw.ge,0.003438132326855166
361,cdpmi,0.0034356714892521526
1007,mov.le,0.003414468801068066
1101,mrclt,0.003389596242608558
1467,smull,0.003384605387127565
799,ldrhcc,0.0033441902009540506
728,ldrcs,0.003272757549596871
859,ldrshcc,0.003270395405355648
255,bic.ne,0.003226813643701878
460,dmb,0.0032043885828319683
1774,strhmi,0.003122987497127299
275,bicne,0.003102103740036127
313,bne.w,0.0030308913168573598
1768,strhgt,0.003021111658007969
2072,uxth.w,0.002981001556053841
1951,ubfx,0.002961750742463555
2207,vcvt.f64.s32,0.0029508176285382983
325,bx.hi,0.0029349870270298064
1136,mulne,0.00292681872808836
743,ldrdeq,0.002912328883166772
141,andlt,0.0029075315321715834
257,bic.pl,0.0028790127059575552
336,bxge,0.002854390384345167
2339,vldr.ge.64,0.0028223094932727432
1284,rbit,0.0027809244507557736
70,adds.w,0.0027752595918478814
1779,strls,0.002774292896454041
719,ldrbtle,0.002752058743840623
234,bgt.w,0.0027279236845717124
1763,strh.w,0.0026883595025008616
126,andcc,0.0026503917605685532
626,ldmiami,0.0026472056939964876
1264,pop.ne,0.0026392450725943287
819,ldrsb,0.0026024086609380648
1342,rsbls,0.002573489500684801
1167,mvnge,0.0025611352062102875
1294,rev16,0.002555867652299106
652,ldr.eq,0.002535288691865318
197,b.mi,0.0025203124991118164
1169,mvnhi,0.0025066870023522717
2483,vmov.vc,0.0024944619147067287
1734,strge,0.0024870529836596342
2436,vmov,0.0024663705792328443
1588,stmiavs,0.0024476232363819066
1620,str.ls.w,0.0024032744279992154
1876,swivs,0.002363461030344356
491,eorge,0.002333827173934839
1577,stmiacs,0.0023316803190249506
1481,smultb,0.0023174238236524864
2528,vmrs,0.0023140312709983117
2333,vldr.64,0.0023027141966104094
1182,nop,0.002301055173791301
1717,strdeq,0.0022966007667410324
2833,vsub.i8,0.002272195967338087
186,b.eq.w,0.002258958593143397
911,lsls.w,0.002218502777445845
998,mov.cs.w,0.002193014016907531
1881,sxtb,0.002177469251686336
1842,submis,0.002122748594700957
496,eorle,0.002120675970521277
1926,tbb,0.002109852386707619
1990,umullhi,0.0020972025848760944
786,ldrh.w,0.0020091340246901034
270,bicls,0.0020062815714828814
2344,vldr.le.32,0.001995818171696149
1244,orrs.eq.w,0.001965819767947979
2032,uxtb.mi,0.0019623019760524577
1257,pop.cc,0.001933856491143829
15,adcs.w,0.0019109310179230535
1179,mvns.ne.w,0.001906463424650419
1039,movs.w,0.0019007813500786228
352,cdp2,0.0018772951816603746
726,ldrbvs,0.001859091068146364
398,cmnle,0.0018561510981608845
219,bfi,0.0018483882478176764
1584,stmialt,0.0018483736714504507
2551,vmul.i16,0.0018441775060562729
1260,pop.hi,0.0018382174164845437
2884,yield,0.0018078563653210421
2787,vstr.64,0.0018045343381670358
327,bx.ls,0.0017930791400080984
2203,vcvt.f32.f64,0.0017588463106866783
1802,sub.cs.w,0.0017464937839334071
316,bvc,0.0017072602899675356
1331,rsbcc,0.0016987476998228783
1416,smlabb,0.0016978356544529467
251,bic.lt,0.001696562954131616
1838,subls,0.0016714298471816676
2383,vmax.u8,0.001659160100468747
1692,strbtls,0.0016483086754808325
1282,push.w,0.0016301946783625646
1178,mvns.eq.w,0.001626676795871867
2771,vst1.64,0.0016258637904433722
431,cmpge,0.0016098333609705572
1848,subs.w,0.0015911274083688677
1930,teq.ne,0.0015877409184951363
976,mlagt,0.0015722145562791965
290,blhi,0.0015600986272451094
1217,orr.mi,0.001550710011294973
706,ldrbhi,0.0015422916303261182
1899,sxth,0.0015364209879718124
2099,vadd.f64,0.0015336547293287187
236,bhi.w,0.0015048696841155956
1600,stmibne,0.001497737991905788
1337,rsbgt,0.00149102167820771
1262,pop.lt,0.001489121873125473
2097,vadd.eq.f64,0.0014817652986642853
1088,movwlt,0.001468779708924545
1286,rev,0.0014631043013673053
2170,vcmpe.f32,0.001462340854277159
452,cpymi,0.0014570943330575003
634,ldmibeq,0.0014517930695827441
1141,mvn.cc.w,0.0014515088033605406
1299,ror,0.0014401472078016697
1205,orr.ge,0.0014356511629739215
907,lsl.w,0.0014342787448988934
207,bcc.w,0.001433729505757916
656,ldr.gt,0.0014245386653011039
2742,vshll.u8,0.001407483407870292
139,andls,0.001404365519347434
328,bx.lt,0.0014041304309141771
125,and.w,0.0013926656675041687
1203,orr.eq,0.0013891434077102642
2518,vmovn.i32,0.001380670935381432
2010,uxtah,0.0013722396918759944
454,cpypl,0.0013722356998350936
395,cmneq,0.0013602976451611915
2262,vcvt.s32.f64,0.0013508663279517509
2279,vdiv.f64,0.001340989009380513
300,blt.w,0.0013340201426201414
1766,strheq,0.0013303922392536882
1929,teq.eq.w,0.0013277013889090763
625,ldmialt,0.0012877944142673612
1293,rev.w,0.0012769396497832335
1886,sxtb.ls,0.0012735361186222152
2691,vqsub.u32,0.0012727951420388583
684,ldrb.gt,0.001271638127737438
571,ldm.w,0.0012606861122159644
1349,rsbs.w,0.0012365229525026272
1333,rsbcss,0.0012287433177933435
89,adr.le,0.0012116403297742656
940,mcr,0.001209237284751658
1772,strhls,0.0011934904764663572
2204,vcvt.f32.s32,0.001191335971904973
1522,stm,0.0011859986385852103
526,itte,0.0011814814474724953
2206,vcvt.f64.f32,0.0011728213564341102
132,andge,0.0011666863494607166
1090,movwne,0.0011653441859970296
436,cmplt,0.0011613639777874859
29,add.gt,0.0011606520704338188
333,bxcc,0.0011462594708048397
1009,mov.ls,0.0011457693418698844
2460,vmov.i8,0.0011434398003922828
232,bge.w,0.00114246071507255
93,adr.w,0.0011328586320466679
1261,pop.le,0.0011301007340171873
707,ldrble,0.0011296693164220477
2041,uxtbeq,0.0011275202293743562
2613,vnegne.f32,0.0011250205493287797
1971,ubfxne,0.0011140561863555935
1181,mvnvs,0.001112953281979117
1184,orn,0.0011043245891183948
2774,vst2.32,0.0011029631787583204
1454,smmla,0.001102718744763077
2867,vtbl.8,0.0011018503679583568
338,bxhi,0.0011010906066030472
1055,movteq,0.0010830448726360344
1706,strd.ge,0.0010805757950863699
2278,vdiv.f32,0.0010663290727641887
286,ble.w,0.0010650769437255826
1563,stmdbne,0.001061827422864893
424,cmp.pl,0.001056884646209372
1873,swine,0.0010476348340577545
1513,stcne,0.0010437533521295286
680,ldrb.eq,0.0010411064268735454
199,b.ne.w,0.0010410745514730535
2205,vcvt.f32.u32,0.0010392697666787715
1808,sub.gt.w,0.0010304499718881688
1771,strhle,0.0010301669958796653
1456,smmul,0.0010131114377936589
2772,vst1.8,0.0010117888719517831
996,mov.cc.w,0.0010030201442830858
2844,vsub.pl.f32,0.001002006412768529
789,ldrh.w.eq,0.0009957607001585835
1108,mrrcls,0.0009895669182912797
1082,movweq,0.0009889052258353793
642,ldmibne,0.0009848917455303119
2037,uxtb.w,0.0009771684250377314
1457,smulbb,0.0009761923745236774
2571,vmull.s16,0.0009749653526314697
73,addw,0.0009707406211833425
1171,mvnls,0.0009686025940755559
2035,uxtb.ne.w,0.0009646170605055175
2447,vmov.f64,0.0009629960094987276
505,eornes,0.0009599820264724288
2302,veor,0.0009580814916338492
121,and.ne,0.0009568028298461402
1084,movwgt,0.0009549835104182772
1434,smlal,0.0009537324971821287
1801,sub.cs,0.0009537261918837462
876,ldrtls,0.0009510992375558375
1245,orrs.ne.w,0.0009498507646529505
2314,vld1.32,0.000943324406688755
1769,strhhi,0.000932387849298337
149,ands.ne,0.0009322430227862593
2220,vcvt.gt.u32.f64,0.0009209848848270216
230,bfine,0.0009180406292008086
1535,stm.w,0.0009157751150650526
1728,strex,0.0009075919798454296
1001,mov.ge,0.0008936901750182869
1010,mov.ls.w,0.0008926110501764167
1594,stmibgt,0.0008911581591489104
531,itttt,0.0008896544289582302
653,ldr.eq.w,0.0008887047769652352
1006,mov.hi.w,0.0008845264834668025
2167,vcmp.f32,0.000884340862944855
39,add.mi,0.0008840836995677562
493,eorgt,0.0008802788567116935
1016,mov.ne.w,0.0008764372935230316
2503,vmovl.u16,0.0008736302828219954
1086,movwle,0.0008727094695613998
1295,rev16.w,0.0008694306660639805
774,ldrh.le.w,0.0008679513246605513
1488,stc,0.0008659930204480606
2749,vshr.u64,0.0008573718916941607
